Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9472122245374756,0.0,0.0,0.0
Random Forest,0.8116436193723559,0.1728131667174642,0.6782296650717703,0.27544328394461987
XGBoost,0.7433857422491633,0.16220175805776477,0.9270334928229665,0.2760954755967225
